,worker_id,label,reward,value_surplus,seq_length,front_amount
360,434985,0,reward_12m_25,60,12m,25
361,434986,1,reward_12m_25,35,12m,25
362,434988,0,reward_12m_25,60,12m,25
363,434989,0,reward_12m_25,60,12m,25
364,434990,0,reward_12m_25,60,12m,25
365,434992,0,reward_12m_25,60,12m,25
366,434993,1,reward_12m_25,45,12m,25
367,434995,1,reward_12m_25,25,12m,25
368,434996,0,reward_12m_25,60,12m,25
369,434997,0,reward_12m_25,60,12m,25
370,434998,1,reward_12m_25,55,12m,25
371,434999,0,reward_12m_25,60,12m,25
372,435000,0,reward_12m_25,60,12m,25
373,435002,0,reward_12m_25,55,12m,25
374,435003,1,reward_12m_25,35,12m,25
375,435004,0,reward_12m_25,60,12m,25
376,435005,0,reward_12m_25,50,12m,25
377,435008,1,reward_12m_25,55,12m,25
378,435009,0,reward_12m_25,75,12m,25
379,435010,0,reward_12m_25,60,12m,25
380,435011,0,reward_12m_25,75,12m,25
381,435013,0,reward_12m_25,60,12m,25
382,435015,0,reward_12m_25,60,12m,25
383,435016,0,reward_12m_25,50,12m,25
384,435017,0,reward_12m_25,60,12m,25
385,435018,0,reward_12m_25,60,12m,25
386,435019,1,reward_12m_25,50,12m,25
387,435020,0,reward_12m_25,50,12m,25
388,435021,0,reward_12m_25,55,12m,25
389,435022,1,reward_12m_25,60,12m,25
390,435024,1,reward_12m_25,45,12m,25
391,435026,1,reward_12m_25,25,12m,25
392,435027,0,reward_12m_25,60,12m,25
393,435028,0,reward_12m_25,60,12m,25
394,435029,0,reward_12m_25,60,12m,25
395,435030,1,reward_12m_25,0,12m,25
396,435031,1,reward_12m_25,60,12m,25
397,435032,1,reward_12m_25,35,12m,25
398,435033,1,reward_12m_25,25,12m,25
399,435035,0,reward_12m_25,60,12m,25
400,435036,1,reward_12m_25,25,12m,25
401,435038,0,reward_12m_25,55,12m,25
402,435039,0,reward_12m_25,60,12m,25
403,435040,0,reward_12m_25,60,12m,25
404,435041,0,reward_12m_25,60,12m,25
405,435042,1,reward_12m_25,25,12m,25
406,435043,0,reward_12m_25,65,12m,25
407,435045,0,reward_12m_25,75,12m,25
408,435046,1,reward_12m_25,50,12m,25
409,435049,1,reward_12m_25,30,12m,25
410,435052,0,reward_12m_25,55,12m,25
411,435053,0,reward_12m_25,55,12m,25
412,435054,0,reward_12m_25,60,12m,25
413,435055,0,reward_12m_25,60,12m,25
414,435056,1,reward_12m_25,35,12m,25
415,435057,0,reward_12m_25,60,12m,25
416,435060,1,reward_12m_25,30,12m,25
417,435062,0,reward_12m_25,60,12m,25
418,435063,1,reward_12m_25,35,12m,25
419,435064,0,reward_12m_25,60,12m,25
420,435065,1,reward_12m_25,35,12m,25
421,435066,0,reward_12m_25,60,12m,25
422,435067,0,reward_12m_25,60,12m,25
423,435068,1,reward_12m_25,25,12m,25
424,435069,0,reward_12m_25,60,12m,25
425,435070,0,reward_12m_25,60,12m,25
426,435072,0,reward_12m_25,75,12m,25
427,435074,1,reward_12m_25,35,12m,25
428,435075,1,reward_12m_25,60,12m,25
429,435076,1,reward_12m_25,50,12m,25
430,435077,0,reward_12m_25,55,12m,25
431,435079,0,reward_12m_25,60,12m,25
432,435080,0,reward_12m_25,55,12m,25
433,435081,1,reward_12m_25,25,12m,25
434,435083,0,reward_12m_25,60,12m,25
435,435084,1,reward_12m_25,0,12m,25
436,435086,0,reward_12m_25,75,12m,25
437,435087,0,reward_12m_25,65,12m,25
438,435089,0,reward_12m_25,60,12m,25
439,435092,0,reward_12m_25,60,12m,25
440,435093,1,reward_12m_25,60,12m,25
441,435095,0,reward_12m_25,50,12m,25
442,435096,0,reward_12m_25,60,12m,25
443,435097,0,reward_12m_25,60,12m,25
444,435098,1,reward_12m_25,55,12m,25
445,435099,0,reward_12m_25,65,12m,25
446,435100,1,reward_12m_25,50,12m,25
447,435101,1,reward_12m_25,35,12m,25
448,435103,0,reward_12m_25,60,12m,25
449,435104,1,reward_12m_25,15,12m,25
450,435105,0,reward_12m_25,60,12m,25
451,435106,0,reward_12m_25,60,12m,25
452,435107,1,reward_12m_25,25,12m,25
453,435108,1,reward_12m_25,45,12m,25
454,435110,0,reward_12m_25,60,12m,25
455,435111,0,reward_12m_25,60,12m,25
456,435113,1,reward_12m_25,50,12m,25
457,435114,0,reward_12m_25,60,12m,25
458,435115,0,reward_12m_25,55,12m,25
459,435116,0,reward_12m_25,75,12m,25
460,435117,0,reward_12m_25,60,12m,25
461,435118,0,reward_12m_25,60,12m,25
462,435119,1,reward_12m_25,25,12m,25
463,435120,0,reward_12m_25,75,12m,25
464,435121,0,reward_12m_25,75,12m,25
465,435122,0,reward_12m_25,60,12m,25
466,435123,1,reward_12m_25,55,12m,25
467,435124,1,reward_12m_25,60,12m,25
468,435130,0,reward_12m_25,45,12m,25
469,435131,0,reward_12m_25,55,12m,25
470,435132,1,reward_12m_25,35,12m,25
471,434923,0,reward_12m_265,60,12m,265
